feature,coefficient,importance
vibrant,0.40747832678692314,0.40747832678692314
color,-0.4005698662650279,0.4005698662650279
fabric breathable,0.40023513523311627,0.40023513523311627
heavy,-0.393634334631332,0.393634334631332
fabric,-0.39231858833065997,0.39231858833065997
best,0.39078768236272643,0.39078768236272643
uncomfortable fit,-0.3898673450605363,0.3898673450605363
polo look,0.38910766218658244,0.38910766218658244
hoodie,0.3858765998208435,0.3858765998208435
wash well,0.3796008504400584,0.3796008504400584
snug,0.37544962905195534,0.37544962905195534
quality cotton,0.36841785241148517,0.36841785241148517
made,-0.36813221887100894,0.36813221887100894
damaged,-0.36798853354774774,0.36798853354774774
look,0.3598953240999719,0.3598953240999719
look neat,0.35957167958323905,0.35957167958323905
fit snugly,0.3552884368755405,0.3552884368755405
snugly,0.3552884368755405,0.3552884368755405
comfort,0.3540696282652824,0.3540696282652824
extremely thin,-0.3499842008618928,0.3499842008618928
one,-0.3488171346888487,0.3488171346888487
one wash,-0.3488171346888487,0.3488171346888487
amazing,0.3421339587612378,0.3421339587612378
zipper,-0.3386816064062131,0.3386816064062131
defective,-0.3318443096897515,0.3318443096897515
breathable soft,0.329985632752103,0.329985632752103
terrible quality,-0.3298658605481808,0.3298658605481808
pleased,0.3294102737865749,0.3294102737865749
highly pleased,0.3294102737865749,0.3294102737865749
chemical smell,-0.32880700617798064,0.32880700617798064
loose thread,-0.3252243418594204,0.3252243418594204
thread,-0.3252243418594204,0.3252243418594204
strap,-0.324548321942022,0.324548321942022
look premium,0.318277722002196,0.318277722002196
cotton,0.31692735656262183,0.31692735656262183
cheap plastic,-0.31433327169453407,0.31433327169453407
highly recommended,0.3115397910699918,0.3115397910699918
recommended,0.3115397910699918,0.3115397910699918
quality look,0.310486944051308,0.310486944051308
color faded,-0.3068559037572628,0.3068559037572628
wear,0.30655034918372287,0.30655034918372287
day,-0.3057007517325985,0.3057007517325985
poor quality,-0.302583370771042,0.302583370771042
soft fabric,0.30214252912022965,0.30214252912022965
fabric loose,-0.29820373117569227,0.29820373117569227
shrank heavily,-0.2961594489827661,0.2961594489827661
heavily,-0.2961594489827661,0.2961594489827661
dull color,-0.29275118567981123,0.29275118567981123
comfortably,0.28894261381777425,0.28894261381777425
fit comfortably,0.28894261381777425,0.28894261381777425
excellent fitting,0.28710352414665136,0.28710352414665136
fitting trouser,0.28710352414665136,0.28710352414665136
trouser material,0.28710352414665136,0.28710352414665136
strong,0.28710352414665136,0.28710352414665136
material strong,0.28710352414665136,0.28710352414665136
strong highquality,0.28710352414665136,0.28710352414665136
ever,-0.28706835880635684,0.28706835880635684
vibrant stitching,0.2861067193102083,0.2861067193102083
beautiful dress,0.2861067193102083,0.2861067193102083
stitching outstanding,0.2861067193102083,0.2861067193102083
dress color,0.2861067193102083,0.2861067193102083
